Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-06-19,332,94,4019,93,35,14,16,54,13
2020-06-18,330,86,3680,93,35,14,16,53,13
2020-06-17,324,81,3379,93,35,12,15,51,12
2020-06-16,322,78,3142,89,35,11,15,48,12
2020-06-15,322,78,2824,87,35,11,15,46,12
2020-06-14,314,76,2520,85,34,11,15,46,12
2020-06-13,304,76,2185,85,34,11,15,46,12
2020-06-12,291,76,1867,85,31,10,15,44,12
2020-06-11,289,76,1819,85,31,10,15,35,12
2020-06-10,285,71,1722,82,31,10,14,34,12
2020-06-09,276,71,1673,77,31,10,14,26,12
2020-06-08,272,71,1580,74,31,10,14,22,12
2020-06-07,272,71,1580,74,31,10,14,22,12
2020-06-06,269,71,1406,74,31,10,14,16,11
2020-06-05,263,71,1253,74,31,7,14,15,11
2020-06-04,254,71,1185,74,28,7,14,14,11
2020-06-03,251,64,1048,74,28,7,14,10,11
2020-06-02,249,64,843,74,28,7,14,8,11
2020-06-01,248,60,688,73,28,7,14,8,11
2020-05-31,244,60,541,73,28,7,14,8,11
2020-05-30,242,60,448,73,28,7,12,8,11
2020-05-29,237,60,323,72,20,7,11,8,11
2020-05-28,234,60,319,72,20,7,11,8,7
2020-05-27,228,60,276,72,20,7,11,8,7
2020-05-26,219,60,273,72,20,7,11,8,7
2020-05-25,210,55,258,72,20,7,11,7,7
2020-05-24,209,55,248,72,17,6,11,4,7
2020-05-23,201,55,244,70,11,6,11,4,7
2020-05-22,184,55,227,70,11,6,11,4,7
2020-05-21,181,55,225,70,11,4,4,4,7
2020-05-20,180,55,219,70,11,3,4,4,7
2020-05-19,174,55,208,70,11,3,1,4,7
2020-05-18,171,50,187,70,11,2,1,4,7
2020-05-17,166,50,186,66,11,2,1,4,7
2020-05-16,157,50,175,66,11,2,1,4,7
2020-05-15,123,50,175,65,7,2,1,4,7
2020-05-14,101,45,127,65,7,2,1,1,7
2020-05-13,93,45,125,58,7,2,1,1,7
2020-05-12,76,45,117,57,7,2,1,1,7
2020-05-11,68,45,111,57,7,2,1,1,7
2020-05-10,67,40,92,57,7,2,0,1,7
2020-05-09,63,40,87,52,6,2,0,1,7
2020-05-08,55,40,80,48,6,0,0,1,7
2020-05-07,49,33,80,45,6,0,0,0,6
2020-05-06,49,33,68,36,6,0,0,0,6
2020-05-05,46,33,68,28,6,0,0,0,6
2020-05-04,45,25,68,28,2,0,0,0,6
2020-05-03,38,25,67,28,2,0,0,0,6
2020-05-02,34,25,64,28,2,0,0,0,6
2020-05-01,27,25,50,10,2,0,0,0,6
2020-04-30,27,22,50,10,2,0,0,0,6
2020-04-29,26,22,44,10,2,0,0,0,6
2020-04-28,26,22,44,10,2,0,0,0,6
2020-04-27,19,22,39,10,2,0,0,0,6
2020-04-26,16,13,37,8,0,0,0,0,6
2020-04-25,13,13,14,8,0,0,0,0,6
2020-04-24,13,13,14,8,0,0,0,0,6
2020-04-23,9,13,14,8,0,0,0,0,0
2020-04-22,9,13,14,8,0,0,0,0,0
2020-04-21,6,13,10,8,0,0,0,0,0
2020-04-20,6,13,10,8,0,0,0,0,0
2020-04-19,6,7,10,8,0,0,0,0,0
2020-04-18,6,7,10,8,0,0,0,0,0
2020-04-17,6,7,10,8,0,0,0,0,0
2020-04-16,1,7,10,8,0,0,0,0,0
2020-04-15,1,0,5,8,0,0,0,0,0
2020-04-14,1,0,5,1,0,0,0,0,0
2020-04-13,0,0,5,1,0,0,0,0,0
2020-04-12,0,0,1,1,0,0,0,0,0
2020-04-11,0,0,1,1,0,0,0,0,0
2020-04-10,0,0,1,0,0,0,0,0,0
2020-04-09,0,0,1,1,0,0,0,0,0
2020-04-08,0,0,1,1,0,0,0,0,0
2020-04-07,0,0,1,1,0,0,0,0,0
2020-04-06,0,0,1,1,0,0,0,0,0
2020-04-05,0,0,1,1,0,0,0,0,0
2020-04-04,0,0,1,1,0,0,0,0,0
2020-04-03,0,0,1,1,0,0,0,0,0
2020-04-02,0,0,0,1,0,0,0,0,0
2020-04-01,0,0,0,1,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
